time,open,high,low,close,Volume,Volume MA,MA
730996200,443.4,456.76,441.07,451.67,5766950000,4337748500,423.514
733674600,451.67,452.63,432.3,440.19,5853170000,4444716000,428.46400000000006
736435800,440.19,454.55,436.86,450.21,5108640000,4537098500,433.58000000000004
738941400,450.19,455.63,442.5,450.53,5544400000,4610199500,440.178
741533400,450.54,451.15,441.4,448.13,5308530000,4688745000,441.946
744298200,448.14,463.56,446.94,463.56,5506200000,4756289500,444.846
746890200,463.55,463.8,449.64,458.93,5552720000,4769611500,447.196
749482200,458.93,471.1,456.4,467.83,5940460000,4853254000,448.146
752164200,467.83,469.11,454.36,461.79,5876610000,4943772500,450.524
754756200,461.93,471.29,461.45,466.45,5791210000,5017541000,454.27199999999993
757607400,466.45,482.85,464.36,481.61,6627390000,5166711500,457.79599999999994
760113000,481.6,482.23,464.26,467.14,5853100000,5246375000,460.04799999999994
762532200,467.19,471.09,436.16,445.76,7225010000,5394364500,463.7119999999999
765210600,445.66,452.79,435.86,450.91,5735010000,5498424000,467.32199999999995
767885400,450.91,457.77,440.78,456.51,5675970000,5581030000,468.96399999999994
770477400,456.5,463.23,439.83,444.27,5852670000,5648313000,464.55
773069400,444.29,459.33,443.58,458.25,4980100000,5689879500,462.37399999999997
775747800,458.27,477.59,456.08,475.5,6398750000,5766009500,460.38599999999997
778426200,475.49,475.49,458.47,462.71,6152870000,5809610500,452.91799999999995
781191000,462.77,474.74,449.27,472.35,6344700000,5854723000,451.14
783700200,472.26,472.26,444.18,453.69,6251240000,5878937500,457.0879999999999
786292200,453.55,462.73,442.88,461.17,6095270000,5891042500,459.44799999999987
789057000,459.21,471.36,457.2,470.42,6176650000,5944443000,462.6159999999999
791649000,470.42,489.19,469.29,487.39,6330100000,5983728000,464.4999999999999
794068200,487.39,508.15,479.7,500.71,7792400000,6107921500,465.08399999999995
796915800,500.74,515.29,500.2,514.71,6307030000,6147963000,464.0679999999999
799335000,514.73,533.41,513.03,533.4,7555690000,6248111500,469.0039999999999
802013400,533.41,551.07,526,544.75,7555650000,6328871000,474.67599999999993
804778200,544.79,565.4,542.51,562.06,7307960000,6400438500,486.87999999999994
807283800,562.07,565.62,553.04,561.88,7146620000,6468209000,501.3259999999999
809962200,561.83,587.61,561.01,584.41,7052830000,6489481000,516.1919999999999
812640600,584.43,590.66,571.55,581.5,8043320000,6598992000,531.126
815236200,581.61,608.69,581.04,605.37,7602150000,6617849000,543.3599999999999
817828200,605.42,622.88,605.05,615.93,7697540000,6715975500,557.3
820506600,615.93,636.18,597.29,636.02,9188050000,6891579500,566.9199999999998
823185000,636.02,664.19,633.71,640.43,8749960000,7036444000,579.0439999999999
825690600,640.43,656.97,627.63,645.5,8984200000,7236649000,589.8179999999999
828369000,645.5,656.68,624.14,654.17,8875580000,7360490500,604.6459999999998
830957400,654.17,681.1,630.07,669.12,8921140000,7498904000,615.8499999999998
833808600,669.12,680.32,658.75,670.63,7930840000,7578211000,628.6499999999999
836227800,670.64,675.88,605.88,639.95,8849860000,7708142000,638.4099999999999
838906200,639.95,670.68,639.49,651.99,7380320000,7772394500,649.0479999999999
841671000,651.9,690.88,643.97,687.33,8064070000,7866765500,655.9699999999999
844176600,687.31,714.1,684.44,705.27,9703670000,8035444000,655.874
846858600,705.27,762.12,701.3,757.02,8763850000,8084016500,657.1719999999999
849537000,757.02,761.75,716.69,740.74,9089170000,8223123500,663.8039999999999
852129000,740.74,794.67,729.55,786.16,11635830000,8427130500,671.0339999999999
854980200,786.16,817.68,773.43,790.82,9715930000,8535144500,688.3119999999999
857399400,790.82,814.9,756.13,757.12,10120760000,8675784500,708.4699999999999
859905000,757.12,804.13,733.54,801.34,10454880000,8841197500,735.3039999999999
862493400,801.34,851.87,793.21,848.28,10106650000,8993888500,756.002
865258200,848.28,902.09,838.82,885.14,10857950000,9134620000,766.372
867763800,885.14,957.73,884.54,954.31,11958120000,9352418500,775.236
